time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch,z,y,x,1.0
1619719394059989800,-6042.2030102539100,-0.6250157999954530,0.3705643916392800,-0.22950487816863600,0.3393473443589750,0.8987795462749500,0.0469559934676628,0.7004452017277670,-7.070147060546280,-6.320956002184750,2.495781043189760,1.0
1619719394069915600,-6042.193084472660,-0.6258001802601620,0.37053940790644200,-0.22962117724209700,0.34099324640872000,0.8987240162167620,0.04764188315028150,0.6999064835445580,-7.069237544485930,-6.316915786883240,2.508552846479420,1.0
1619719394079841500,-6042.183158447270,-0.6264610336413300,0.37055949018043400,-0.22961591828031900,0.34298378262158500,0.8986710781472010,0.04850244776874120,0.6993864864101640,-7.067322650775310,-6.313014687791470,2.5237238198652900,1.0
1619719394089767700,-6042.173232421880,-0.6270835200876100,0.3707454068927460,-0.229370217934347,0.3461240306970190,0.8985821729990660,0.049873102875815800,0.6989465641561140,-7.06197486000657,-6.309712723636630,2.546846629038450,1.0
1619719394099692500,-6042.163307373050,-0.6274356166343970,0.37092822289852600,-0.2288898519100450,0.35000663824800600,0.8985281743325850,0.051659639331390000,0.6983178321854440,-7.055757885187860,-6.304991540333630,2.5756056905329200,1.0
1619719394109618700,-6042.153381347660,-0.6278572031102280,0.37098898193040500,-0.2285294087934030,0.35355012915002100,0.8984982553468180,0.053314722044155900,0.6974926566051680,-7.051466325473790,-6.298790932127830,2.6023922829106400,1.0
1619719394119544800,-6042.143455078130,-0.6284298579986930,0.3707707379791360,-0.22847544260547800,0.3560857146268690,0.8985275215009900,0.054556162364407100,0.6962772816640300,-7.052014607006310,-6.289651347860690,2.6229300440266700,1.0
1619719394129470500,-6042.133529541020,-0.6292026502365670,0.37027368061742100,-0.2288225321240160,0.3571357579182660,0.8986085066555820,0.05513944172072410,0.6947948567673290,-7.05798432906568,-6.278490486899020,2.633590261989830,1.0
1619719394139395800,-6042.123604248050,-0.6301703566407090,0.36986225908765700,-0.22935207055911400,0.3573944982942720,0.8986352826068790,0.055263508749345600,0.6937084827634010,-7.063688093665240,-6.270303088790180,2.637800865422190,1.0
1619719394149321500,-6042.113678466800,-0.6308396049748710,0.36955231154840800,-0.22980262802892900,0.3570626329630890,0.8986573202372210,0.05510676775449410,0.6930342736617940,-7.06852208969295,-6.2652177483499000,2.636933434937890,1.0
1619719394159247600,-6042.103752441410,-0.6308557055871760,0.36950194259843400,-0.22990362719823000,0.35653982453915900,0.8986670140524090,0.054865170905450500,0.6930558404558440,-7.069773551058770,-6.265380245435240,2.633190449017290,1.0
1619719394169173800,-6042.093826171880,-0.6305991270492940,0.36969638392818800,-0.22977809300017200,0.3561988435974190,0.8986314686884700,0.05466316295906940,0.6936146656950530,-7.067388117226960,-6.269595232781770,2.6295585222557200,1.0
1619719394179098600,-6042.0839013671900,-0.6300794419139890,0.3698960092346000,-0.22953347702810000,0.35583912398597600,0.8986220375001040,0.05449569103843260,0.6942070890134720,-7.064851292225720,-6.274061564540860,2.625721720571820,1.0
1619719394189024800,-6042.0739753418000,-0.6294002944467220,0.36999765930783900,-0.22928575593476000,0.3552132140674440,0.8986575318699690,0.05426347685703710,0.6946527340187210,-7.063871633538600,-6.2774196427971100,2.6203265835300100,1.0
1619719394198950700,-6042.064049316410,-0.6290428715143160,0.36997925487455700,-0.2292585414316320,0.3543429150658290,0.8986937093706800,0.05390224072069650,0.6948639758195930,-7.064905068239570,-6.279011295902730,2.613717686784270,1.0
1619719394208876500,-6042.054123535160,-0.6291262396443010,0.36997794850225800,-0.2293789217579210,0.3537981513728800,0.8986804878265800,0.053618552374039200,0.6950007232562490,-7.065522323355080,-6.280041223472360,2.609570796237890,1.0
1619719394218801700,-6042.044198242190,-0.6289293399340040,0.369872589395709,-0.22937419720443200,0.3534424015125010,0.8987310259989350,0.053518734094581500,0.6948631301995450,-7.067260691455010,-6.279004866161940,2.607356335058810,1.0
1619719394228727600,-6042.034272460940,-0.62861085891834,0.36987388568498300,-0.2292639417698140,0.35320396105396700,0.8987623308690380,0.053455689169339800,0.6949493115198630,-7.067374088701610,-6.279654269981380,2.605483819185200,1.0
1619719394238653700,-6042.024346191410,-0.628502249966687,0.37000383647879300,-0.22917127644860800,0.3532282682258140,0.898733747817885,0.05343492674073340,0.6952512184668380,-7.065531675705310,-6.281928060132270,2.6049998350605400,1.0
1619719394248579800,-6042.014420166020,-0.6285277363244270,0.3701924055971080,-0.2290884417278350,0.3534770338506910,0.8986746421619260,0.053478540081891100,0.6956211915777060,-7.062702589759230,-6.284713306936620,2.605952605740730,1.0
1619719394258504700,-6042.004495361330,-0.6285704328837340,0.37036490493073400,-0.229032040744084,0.3536344010002590,0.8986178667555990,0.05348028408821090,0.6959771591370810,-7.060193821808700,-6.287392755278950,2.6062892903491900,1.0
